company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Marie Dupont,C,5,4.2,France,MCY-006,Motorcycle,500,2023,8000,Rome,Vienna,821,Europe,Road,255.48,1850.56,292.44,10.26,10.73,28,False,on_time,Rain,31.2,8.5,2026-04-08T13:00:00.463001,2026-04-08T13:04:00.463001,2026-04-08T23:15:36.463001,2026-04-08T23:43:36.463001,2026-04-08
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Juan Garcia,CE,7,4.5,Spain,VAN-004,Van,3000,2022,20000,Istanbul,Vienna,1611,Europe,Road,702.02,2297.82,408.03,20.14,22.36,133,True,delayed,Fog,0.8,56.5,2026-04-09T08:00:00.495497,2026-04-09T08:19:00.495497,2026-04-10T04:08:24.495497,2026-04-10T06:21:24.495497,2026-04-09
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Marie Dupont,C,5,4.2,France,TRK-003,Truck,25000,2015,280000,Paris,Berlin,1292,Europe,Road,8067.8,1797.31,468.5,16.15,16.8,39,True,delayed,Rain,26.9,83.0,2026-04-07T07:00:00.510187,2026-04-07T07:10:00.510187,2026-04-07T23:09:00.510187,2026-04-07T23:48:00.510187,2026-04-07
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Amina Benali,C,2,3.5,Morocco,VAN-004,Van,3000,2022,20000,Paris,Berlin,1292,Europe,Road,618.46,1757.11,352.33,16.15,16.33,11,False,on_time,Clear,26.0,8.3,2026-04-08T10:00:00.524013,2026-04-08T10:14:00.524013,2026-04-09T02:09:00.524013,2026-04-09T02:20:00.524013,2026-04-08
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,TRK-003,Truck,25000,2015,280000,Cairo,Dubai,2721,Middle East,Road,17849.99,6446.37,975.18,34.01,34.39,23,False,on_time,Rain,5.5,21.5,2026-04-09T09:00:00.537836,2026-04-09T08:58:00.537836,2026-04-10T19:00:36.537836,2026-04-10T19:23:36.537836,2026-04-09
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Sara Ali,B,3,3.8,Egypt,MCY-006,Motorcycle,500,2023,8000,London,Paris,402,Europe,Road,315.7,617.66,134.48,5.03,5.23,12,False,on_time,Clear,27.6,86.3,2026-04-07T08:00:00.553604,2026-04-07T08:07:00.553604,2026-04-07T13:01:48.553604,2026-04-07T13:13:48.553604,2026-04-07
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Amina Benali,C,2,3.5,Morocco,TRK-007,Truck,22000,2016,210000,Berlin,Warsaw,845,Europe,Road,15081.89,1816.83,337.77,10.56,11.04,29,False,on_time,Cloudy,-4.3,66.0,2026-04-10T08:00:00.564574,2026-04-10T08:17:00.564574,2026-04-10T18:33:36.564574,2026-04-10T19:02:36.564574,2026-04-10
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Juan Garcia,CE,7,4.5,Spain,VAN-002,Van,3500,2021,45000,Madrid,Lisbon,632,Europe,Road,1863.89,897.52,242.05,7.9,8.37,28,True,delayed,Rain,2.2,37.7,2026-04-06T07:00:00.578044,2026-04-06T07:17:00.578044,2026-04-06T14:54:00.578044,2026-04-06T15:22:00.578044,2026-04-06
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Sara Ali,B,3,3.8,Egypt,MCY-006,Motorcycle,500,2023,8000,Paris,Berlin,1292,Europe,Road,248.3,2423.24,503.2,16.15,16.37,13,False,on_time,Clear,-7.6,73.1,2026-04-10T08:00:00.591024,2026-04-10T08:07:00.591024,2026-04-11T00:09:00.591024,2026-04-11T00:22:00.591024,2026-04-10
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Marie Dupont,C,5,4.2,France,TRK-001,Truck,20000,2018,150000,Dubai,Cairo,2721,Middle East,Road,12923.48,4091.57,1027.31,34.01,33.86,-9,False,on_time,Clear,17.6,25.3,2026-04-11T08:00:00.598110,2026-04-11T07:56:00.598110,2026-04-12T18:00:36.598110,2026-04-12T17:51:36.598110,2026-04-11
