company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Juan Garcia,CE,7,4.5,Spain,MCY-006,Motorcycle,500,2023,8000,Rome,Vienna,821,Europe,Road,313.49,1225.72,352.34,10.26,10.73,28,False,on_time,Cloudy,-1.1,24.8,2026-04-06T09:00:00.752425,2026-04-06T09:13:00.752425,2026-04-06T19:15:36.752425,2026-04-06T19:43:36.752425,2026-04-06
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Amina Benali,C,2,3.5,Morocco,MCY-006,Motorcycle,500,2023,8000,Rome,Vienna,821,Europe,Road,328.42,1572.28,242.35,10.26,10.64,23,True,delayed,Snow,2.3,99.8,2026-04-11T07:00:00.761327,2026-04-11T07:18:00.761327,2026-04-11T17:15:36.761327,2026-04-11T17:38:36.761327,2026-04-11
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Juan Garcia,CE,7,4.5,Spain,VAN-004,Van,3000,2022,20000,Berlin,Warsaw,845,Europe,Road,1915.37,1514.75,223.39,10.56,11.43,52,True,delayed,Rain,26.2,1.9,2026-04-10T11:00:00.761941,2026-04-10T11:16:00.761941,2026-04-10T21:33:36.761941,2026-04-10T22:25:36.761941,2026-04-10
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Yusuf Al-Amin,C,4,4.0,UAE,TRK-003,Truck,25000,2015,280000,Madrid,Lisbon,632,Europe,Road,7676.82,1208.39,165.5,7.9,8.67,46,True,delayed,Rain,29.1,10.9,2026-04-06T11:00:00.762658,2026-04-06T11:00:00.762658,2026-04-06T18:54:00.762658,2026-04-06T19:40:00.762658,2026-04-06
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Sara Ali,B,3,3.8,Egypt,TRK-003,Truck,25000,2015,280000,Madrid,Lisbon,632,Europe,Road,19354.97,865.34,193.9,7.9,7.78,-7,False,on_time,Cloudy,30.8,15.3,2026-04-09T12:00:00.763183,2026-04-09T12:12:00.763183,2026-04-09T19:54:00.763183,2026-04-09T19:47:00.763183,2026-04-09
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Marie Dupont,C,5,4.2,France,TRK-007,Truck,22000,2016,210000,Cairo,Dubai,2721,Middle East,Road,10365.14,4137.45,950.69,34.01,37.53,211,True,delayed,Cloudy,7.0,21.5,2026-04-11T08:00:00.763505,2026-04-11T07:58:00.763505,2026-04-12T18:00:36.763505,2026-04-12T21:31:36.763505,2026-04-11
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Sara Ali,B,3,3.8,Egypt,TRK-007,Truck,22000,2016,210000,Madrid,Lisbon,632,Europe,Road,2587.82,1299.4,247.1,7.9,7.85,-3,False,on_time,Clear,13.1,73.7,2026-04-07T06:00:00.763816,2026-04-07T06:00:00.763816,2026-04-07T13:54:00.763816,2026-04-07T13:51:00.763816,2026-04-07
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Amina Benali,C,2,3.5,Morocco,TRK-003,Truck,25000,2015,280000,Cairo,Dubai,2721,Middle East,Road,16947.56,3627.93,854.7,34.01,34.43,25,False,on_time,Cloudy,14.5,92.0,2026-04-11T08:00:00.764164,2026-04-11T08:14:00.764164,2026-04-12T18:00:36.764164,2026-04-12T18:25:36.764164,2026-04-11
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Marie Dupont,C,5,4.2,France,TRK-005,Truck,18000,2019,120000,Amsterdam,Brussels,179,Europe,Road,15184.37,411.49,57.58,2.24,2.62,23,False,on_time,Clear,25.2,6.4,2026-04-07T08:00:00.764548,2026-04-07T08:04:00.764548,2026-04-07T10:14:24.764548,2026-04-07T10:37:24.764548,2026-04-07
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Marie Dupont,C,5,4.2,France,TRK-007,Truck,22000,2016,210000,Madrid,Lisbon,632,Europe,Road,2159.05,1452.24,276.96,7.9,8.33,26,True,delayed,Fog,6.3,53.9,2026-04-12T10:00:00.764979,2026-04-12T10:15:00.764979,2026-04-12T17:54:00.764979,2026-04-12T18:20:00.764979,2026-04-12
