company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Klaus Weber,CE,12,4.9,Germany,MCY-006,Motorcycle,500,2023,8000,Paris,Berlin,1292,Europe,Road,264.83,2936.71,379.9,16.15,17.02,52,True,delayed,Clear,5.0,72.0,2026-04-07T10:00:00.040513,2026-04-07T10:02:00.040513,2026-04-08T02:09:00.040513,2026-04-08T03:01:00.040513,2026-04-07
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Sara Ali,B,3,3.8,Egypt,TRK-001,Truck,20000,2018,150000,Casablanca,Tunis,2003,Africa,Road,16404.68,2865.7,739.65,25.04,26.39,81,True,delayed,Rain,-8.7,78.1,2026-04-10T13:00:00.069422,2026-04-10T12:59:00.069422,2026-04-11T14:02:24.069422,2026-04-11T15:23:24.069422,2026-04-10
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Marie Dupont,C,5,4.2,France,TRK-003,Truck,25000,2015,280000,Rome,Vienna,821,Europe,Road,6839.82,1394.76,357.94,10.26,10.43,10,False,on_time,Rain,25.5,6.8,2026-04-11T09:00:00.084137,2026-04-11T09:05:00.084137,2026-04-11T19:15:36.084137,2026-04-11T19:25:36.084137,2026-04-11
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Marie Dupont,C,5,4.2,France,TRK-001,Truck,20000,2018,150000,Cairo,Dubai,2721,Middle East,Road,17579.44,3733.43,973.17,34.01,33.91,-6,False,on_time,Clear,11.6,4.0,2026-04-10T12:00:00.096083,2026-04-10T12:03:00.096083,2026-04-11T22:00:36.096083,2026-04-11T21:54:36.096083,2026-04-10
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Amina Benali,C,2,3.5,Morocco,MCY-006,Motorcycle,500,2023,8000,Dubai,Cairo,2721,Middle East,Road,434.54,5360.02,1222.58,34.01,34.36,21,False,on_time,Clear,-2.8,15.5,2026-04-12T07:00:00.109624,2026-04-12T07:19:00.109624,2026-04-13T17:00:36.109624,2026-04-13T17:21:36.109624,2026-04-12
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Juan Garcia,CE,7,4.5,Spain,TRK-005,Truck,18000,2019,120000,Dubai,Cairo,2721,Middle East,Road,11981.6,4167.45,897.34,34.01,34.21,12,False,on_time,Clear,10.3,83.0,2026-04-10T12:00:00.123729,2026-04-10T12:19:00.123729,2026-04-11T22:00:36.123729,2026-04-11T22:12:36.123729,2026-04-10
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Ahmed Hassan,CE,8,4.7,Morocco,TRK-007,Truck,22000,2016,210000,Cairo,Dubai,2721,Middle East,Road,15024.03,4707.08,940.4,34.01,34.69,41,True,delayed,Clear,0.1,47.0,2026-04-07T09:00:00.135194,2026-04-07T09:07:00.135194,2026-04-08T19:00:36.135194,2026-04-08T19:41:36.135194,2026-04-07
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Marie Dupont,C,5,4.2,France,TRK-001,Truck,20000,2018,150000,Madrid,Lisbon,632,Europe,Road,8866.56,1082.86,282.44,7.9,8.52,37,True,delayed,Clear,-3.4,87.8,2026-04-07T11:00:00.152157,2026-04-07T11:12:00.152157,2026-04-07T18:54:00.152157,2026-04-07T19:31:00.152157,2026-04-07
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Juan Garcia,CE,7,4.5,Spain,TRK-007,Truck,22000,2016,210000,Madrid,Lisbon,632,Europe,Road,13430.95,1542.14,242.29,7.9,8.85,57,True,delayed,Rain,7.1,1.3,2026-04-08T06:00:00.162712,2026-04-08T06:13:00.162712,2026-04-08T13:54:00.162712,2026-04-08T14:51:00.162712,2026-04-08
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Amina Benali,C,2,3.5,Morocco,TRK-003,Truck,25000,2015,280000,Casablanca,Tunis,2003,Africa,Road,8093.48,2924.57,741.87,25.04,25.07,2,True,delayed,Clear,21.4,33.6,2026-04-07T10:00:00.176435,2026-04-07T10:12:00.176435,2026-04-08T11:02:24.176435,2026-04-08T11:04:24.176435,2026-04-07
