company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Sara Ali,B,3,3.8,Egypt,VAN-008,Van,4000,2020,80000,Cairo,Dubai,2721,Middle East,Road,2470.65,4132.37,1074.69,34.01,34.46,27,False,on_time,Clear,26.3,7.4,2026-04-13T10:00:00.750732,2026-04-13T10:08:00.750732,2026-04-14T20:00:36.750732,2026-04-14T20:27:36.750732,2026-04-13
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Yusuf Al-Amin,C,4,4.0,UAE,TRK-007,Truck,22000,2016,210000,Casablanca,Tunis,2003,Africa,Road,10736.77,2903.28,548.71,25.04,25.46,25,False,on_time,Cloudy,17.0,11.1,2026-04-13T09:00:00.138283,2026-04-13T09:11:00.138283,2026-04-14T10:02:24.138283,2026-04-14T10:27:24.138283,2026-04-13
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Ahmed Hassan,CE,8,4.7,Morocco,VAN-002,Van,3500,2021,45000,Dubai,Cairo,2721,Middle East,Road,826.68,4896.07,807.46,34.01,35.91,114,True,delayed,Cloudy,25.7,16.5,2026-04-13T08:00:00.460413,2026-04-13T08:18:00.460413,2026-04-14T18:00:36.460413,2026-04-14T19:54:36.460413,2026-04-13
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Yusuf Al-Amin,C,4,4.0,UAE,MCY-006,Motorcycle,500,2023,8000,London,Paris,402,Europe,Road,208.99,764.99,165.1,5.03,5.35,19,False,on_time,Cloudy,12.6,8.1,2026-04-13T11:00:00.765961,2026-04-13T11:09:00.765961,2026-04-13T16:01:48.765961,2026-04-13T16:20:48.765961,2026-04-13
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Klaus Weber,CE,12,4.9,Germany,VAN-008,Van,4000,2020,80000,Cairo,Dubai,2721,Middle East,Road,2830.19,6505.22,846.28,34.01,34.26,15,False,on_time,Clear,26.3,7.4,2026-04-13T09:00:00.026438,2026-04-13T09:01:00.026438,2026-04-14T19:00:36.026438,2026-04-14T19:15:36.026438,2026-04-13
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Klaus Weber,CE,12,4.9,Germany,VAN-008,Van,4000,2020,80000,London,Paris,402,Europe,Road,423.64,546.17,125.91,5.03,5.15,7,False,on_time,Cloudy,12.6,8.1,2026-04-13T10:00:00.295531,2026-04-13T10:03:00.295531,2026-04-13T15:01:48.295531,2026-04-13T15:08:48.295531,2026-04-13
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Pierre Martin,CE,15,4.8,France,TRK-005,Truck,18000,2019,120000,Amsterdam,Brussels,179,Europe,Road,3654.93,311.32,78.51,2.24,2.79,33,True,delayed,Cloudy,14.0,8.1,2026-04-13T09:00:00.535023,2026-04-13T08:58:00.535023,2026-04-13T11:14:24.535023,2026-04-13T11:47:24.535023,2026-04-13
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Klaus Weber,CE,12,4.9,Germany,TRK-003,Truck,25000,2015,280000,Istanbul,Vienna,1611,Europe,Road,17641.23,3912.94,596.78,20.14,20.72,35,True,delayed,Clear,15.5,16.7,2026-04-13T11:00:00.788681,2026-04-13T11:04:00.788681,2026-04-14T07:08:24.788681,2026-04-14T07:43:24.788681,2026-04-13
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,TRK-001,Truck,20000,2018,150000,London,Paris,402,Europe,Road,3169.3,543.95,150.93,5.03,5.0,-2,False,on_time,Cloudy,12.6,8.1,2026-04-13T13:00:00.046907,2026-04-13T13:16:00.046907,2026-04-13T18:01:48.046907,2026-04-13T17:59:48.046907,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Pierre Martin,CE,15,4.8,France,TRK-001,Truck,20000,2018,150000,Dubai,Cairo,2721,Middle East,Road,12915.68,3304.67,1034.23,34.01,33.99,-1,False,on_time,Cloudy,25.7,16.5,2026-04-13T06:00:00.292342,2026-04-13T06:01:00.292342,2026-04-14T16:00:36.292342,2026-04-14T15:59:36.292342,2026-04-13
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Marie Dupont,C,5,4.2,France,VAN-004,Van,3000,2022,20000,Paris,Berlin,1292,Europe,Road,568.76,3008.84,367.23,16.15,16.02,-8,False,on_time,Cloudy,12.6,20.4,2026-04-13T08:00:00.565573,2026-04-13T08:13:00.565573,2026-04-14T00:09:00.565573,2026-04-14T00:01:00.565573,2026-04-13
