company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Juan Garcia,CE,7,4.5,Spain,VAN-004,Van,3000,2022,20000,Istanbul,Vienna,1611,Europe,Road,2433.54,2553.5,485.15,20.14,20.52,23,True,delayed,Clear,11.6,13.0,2026-04-13T07:00:00.450766,2026-04-13T07:04:00.450766,2026-04-14T03:08:24.450766,2026-04-14T03:31:24.450766,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Marie Dupont,C,5,4.2,France,TRK-005,Truck,18000,2019,120000,Amsterdam,Brussels,179,Europe,Road,10649.92,305.19,49.43,2.24,2.51,16,False,on_time,Rain,9.6,11.3,2026-04-13T13:00:00.960862,2026-04-13T13:10:00.960862,2026-04-13T15:14:24.960862,2026-04-13T15:30:24.960862,2026-04-13
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Pierre Martin,CE,15,4.8,France,MCY-006,Motorcycle,500,2023,8000,Cairo,Dubai,2721,Middle East,Road,324.05,4083.87,1091.42,34.01,33.96,-3,False,on_time,Clear,22.3,14.8,2026-04-13T10:00:00.377519,2026-04-13T10:15:00.377519,2026-04-14T20:00:36.377519,2026-04-14T19:57:36.377519,2026-04-13
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Ahmed Hassan,CE,8,4.7,Morocco,TRK-003,Truck,25000,2015,280000,Cairo,Dubai,2721,Middle East,Road,3538.9,3602.54,1181.83,34.01,34.31,18,False,on_time,Clear,22.3,14.8,2026-04-13T08:00:00.890229,2026-04-13T07:57:00.890229,2026-04-14T18:00:36.890229,2026-04-14T18:18:36.890229,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Yusuf Al-Amin,C,4,4.0,UAE,VAN-002,Van,3500,2021,45000,Dubai,Cairo,2721,Middle East,Road,2570.15,5471.85,938.71,34.01,34.41,24,False,on_time,Cloudy,26.3,9.6,2026-04-13T08:00:00.277100,2026-04-13T07:56:00.277100,2026-04-14T18:00:36.277100,2026-04-14T18:24:36.277100,2026-04-13
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Pierre Martin,CE,15,4.8,France,MCY-006,Motorcycle,500,2023,8000,Casablanca,Tunis,2003,Africa,Road,393.54,4963.26,701.1,25.04,25.52,29,False,on_time,Cloudy,14.4,9.3,2026-04-13T06:00:00.658751,2026-04-13T06:16:00.658751,2026-04-14T07:02:24.658751,2026-04-14T07:31:24.658751,2026-04-13
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Yusuf Al-Amin,C,4,4.0,UAE,TRK-003,Truck,25000,2015,280000,Cairo,Dubai,2721,Middle East,Road,21868.74,3345.16,1209.63,34.01,33.86,-9,False,on_time,Clear,22.3,14.8,2026-04-13T09:00:00.145597,2026-04-13T09:05:00.145597,2026-04-14T19:00:36.145597,2026-04-14T18:51:36.145597,2026-04-13
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Ahmed Hassan,CE,8,4.7,Morocco,VAN-004,Van,3000,2022,20000,Madrid,Lisbon,632,Europe,Road,282.45,962.69,252.61,7.9,8.13,14,False,on_time,Clear,8.4,20.4,2026-04-13T11:00:00.532832,2026-04-13T10:59:00.532832,2026-04-13T18:54:00.532832,2026-04-13T19:08:00.532832,2026-04-13
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Pierre Martin,CE,15,4.8,France,VAN-002,Van,3500,2021,45000,Istanbul,Vienna,1611,Europe,Road,2514.79,3431.7,705.58,20.14,20.46,19,False,on_time,Clear,11.6,13.0,2026-04-13T07:00:00.929934,2026-04-13T07:04:00.929934,2026-04-14T03:08:24.929934,2026-04-14T03:27:24.929934,2026-04-13
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Ahmed Hassan,CE,8,4.7,Morocco,VAN-002,Van,3500,2021,45000,Amsterdam,Brussels,179,Europe,Road,1764.52,436.2,64.14,2.24,2.42,11,False,on_time,Rain,9.6,11.3,2026-04-13T12:00:00.335462,2026-04-13T12:08:00.335462,2026-04-13T14:14:24.335462,2026-04-13T14:25:24.335462,2026-04-13
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Sara Ali,B,3,3.8,Egypt,TRK-005,Truck,18000,2019,120000,Amsterdam,Brussels,179,Europe,Road,12593.48,338.19,62.33,2.24,2.61,22,False,on_time,Rain,9.6,11.3,2026-04-13T06:00:00.702823,2026-04-13T06:03:00.702823,2026-04-13T08:14:24.702823,2026-04-13T08:36:24.702823,2026-04-13
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Marie Dupont,C,5,4.2,France,MCY-006,Motorcycle,500,2023,8000,London,Paris,402,Europe,Road,371.26,661.3,126.85,5.03,5.45,25,False,on_time,Cloudy,9.3,1.8,2026-04-13T06:00:00.076635,2026-04-13T06:10:00.076635,2026-04-13T11:01:48.076635,2026-04-13T11:26:48.076635,2026-04-13
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Ahmed Hassan,CE,8,4.7,Morocco,MCY-006,Motorcycle,500,2023,8000,Casablanca,Tunis,2003,Africa,Road,228.72,3331.3,682.37,25.04,25.37,20,True,delayed,Cloudy,14.4,9.3,2026-04-13T08:00:00.464327,2026-04-13T08:03:00.464327,2026-04-14T09:02:24.464327,2026-04-14T09:22:24.464327,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Juan Garcia,CE,7,4.5,Spain,VAN-004,Van,3000,2022,20000,Casablanca,Tunis,2003,Africa,Road,1207.34,4610.83,714.19,25.04,25.52,29,True,delayed,Cloudy,14.4,9.3,2026-04-13T06:00:00.800482,2026-04-13T05:55:00.800482,2026-04-14T07:02:24.800482,2026-04-14T07:31:24.800482,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Sara Ali,B,3,3.8,Egypt,VAN-002,Van,3500,2021,45000,Rome,Vienna,821,Europe,Road,2004.26,1270.31,255.06,10.26,10.64,23,False,on_time,Clear,20.5,35.2,2026-04-13T07:00:00.177234,2026-04-13T07:06:00.177234,2026-04-13T17:15:36.177234,2026-04-13T17:38:36.177234,2026-04-13
