company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Klaus Weber,CE,12,4.9,Germany,TRK-005,Truck,18000,2019,120000,Casablanca,Tunis,2003,Africa,Road,11506.75,3658.52,813.71,25.04,24.94,-6,False,on_time,Cloudy,16.8,9.3,2026-04-13T12:00:00.866221,2026-04-13T12:04:00.866221,2026-04-14T13:02:24.866221,2026-04-14T12:56:24.866221,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Amina Benali,C,2,3.5,Morocco,VAN-002,Van,3500,2021,45000,Berlin,Warsaw,845,Europe,Road,3132.79,1955.04,282.86,10.56,10.94,23,False,on_time,Clear,14.5,29.0,2026-04-13T07:00:00.077255,2026-04-13T07:16:00.077255,2026-04-13T17:33:36.077255,2026-04-13T17:56:36.077255,2026-04-13
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Sara Ali,B,3,3.8,Egypt,MCY-006,Motorcycle,500,2023,8000,Cairo,Dubai,2721,Middle East,Road,286.49,6623.38,1106.76,34.01,36.16,129,True,delayed,Clear,26.3,11.1,2026-04-13T12:00:00.329390,2026-04-13T12:14:00.329390,2026-04-14T22:00:36.329390,2026-04-15T00:09:36.329390,2026-04-13
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Marie Dupont,C,5,4.2,France,VAN-004,Van,3000,2022,20000,Madrid,Lisbon,632,Europe,Road,2265.95,1246.51,252.66,7.9,7.8,-6,False,on_time,Cloudy,13.9,24.1,2026-04-13T11:00:00.572931,2026-04-13T11:00:00.572931,2026-04-13T18:54:00.572931,2026-04-13T18:48:00.572931,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Ahmed Hassan,CE,8,4.7,Morocco,VAN-004,Van,3000,2022,20000,Istanbul,Vienna,1611,Europe,Road,2498.82,3341.43,666.55,20.14,20.12,-1,False,on_time,Clear,13.8,18.5,2026-04-13T08:00:00.828200,2026-04-13T08:19:00.828200,2026-04-14T04:08:24.828200,2026-04-14T04:07:24.828200,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Sara Ali,B,3,3.8,Egypt,TRK-005,Truck,18000,2019,120000,Dubai,Cairo,2721,Middle East,Road,491.34,4421.32,863.56,34.01,34.09,5,False,on_time,Cloudy,24.5,21.6,2026-04-13T08:00:00.101816,2026-04-13T07:55:00.101816,2026-04-14T18:00:36.101816,2026-04-14T18:05:36.101816,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Amina Benali,C,2,3.5,Morocco,TRK-001,Truck,20000,2018,150000,Amsterdam,Brussels,179,Europe,Road,12946.8,388.85,55.03,2.24,4.64,144,True,delayed,Cloudy,13.2,9.3,2026-04-13T07:00:00.423302,2026-04-13T07:14:00.423302,2026-04-13T09:14:24.423302,2026-04-13T11:38:24.423302,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Ahmed Hassan,CE,8,4.7,Morocco,MCY-006,Motorcycle,500,2023,8000,Istanbul,Vienna,1611,Europe,Road,197.77,2691.28,615.7,20.14,20.21,4,False,on_time,Clear,13.8,18.5,2026-04-13T09:00:00.678423,2026-04-13T09:07:00.678423,2026-04-14T05:08:24.678423,2026-04-14T05:12:24.678423,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Sara Ali,B,3,3.8,Egypt,TRK-005,Truck,18000,2019,120000,Madrid,Lisbon,632,Europe,Road,9520.18,918.22,201.31,7.9,8.38,29,False,on_time,Cloudy,13.9,24.1,2026-04-13T12:00:00.890190,2026-04-13T12:01:00.890190,2026-04-13T19:54:00.890190,2026-04-13T20:23:00.890190,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Klaus Weber,CE,12,4.9,Germany,TRK-003,Truck,25000,2015,280000,Amsterdam,Brussels,179,Europe,Road,4253.12,297.73,71.84,2.24,2.46,13,False,on_time,Cloudy,13.2,9.3,2026-04-13T09:00:00.117067,2026-04-13T08:58:00.117067,2026-04-13T11:14:24.117067,2026-04-13T11:27:24.117067,2026-04-13
