company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Juan Garcia,CE,7,4.5,Spain,TRK-003,Truck,25000,2015,280000,Casablanca,Tunis,2003,Africa,Road,11867.97,3981.19,525.36,25.04,26.47,86,True,delayed,Rain,-8.4,70.7,2026-04-14T11:00:00.888689,2026-04-14T11:04:00.888689,2026-04-15T12:02:24.888689,2026-04-15T13:28:24.888689,2026-04-14
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Klaus Weber,CE,12,4.9,Germany,VAN-002,Van,3500,2021,45000,Amsterdam,Brussels,179,Europe,Road,173.94,332.61,80.11,2.24,5.69,207,True,delayed,Cloudy,39.7,85.7,2026-04-14T07:00:00.924398,2026-04-14T07:19:00.924398,2026-04-14T09:14:24.924398,2026-04-14T12:41:24.924398,2026-04-14
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Marie Dupont,C,5,4.2,France,VAN-004,Van,3000,2022,20000,Berlin,Warsaw,845,Europe,Road,2265.95,1666.61,337.81,10.56,10.46,-6,False,on_time,Cloudy,11.6,75.0,2026-04-14T11:00:00.929991,2026-04-14T11:00:00.929991,2026-04-14T21:33:36.929991,2026-04-14T21:27:36.929991,2026-04-14
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,VAN-002,Van,3500,2021,45000,Istanbul,Vienna,1611,Europe,Road,768.89,3782.63,698.22,20.14,20.81,40,True,delayed,Clear,30.1,29.0,2026-04-14T08:00:00.936428,2026-04-14T08:16:00.936428,2026-04-15T04:08:24.936428,2026-04-15T04:48:24.936428,2026-04-14
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Amina Benali,C,2,3.5,Morocco,TRK-003,Truck,25000,2015,280000,London,Paris,402,Europe,Road,20492.96,857.47,160.64,5.03,5.35,19,True,delayed,Clear,35.5,77.9,2026-04-14T08:00:00.942413,2026-04-14T08:02:00.942413,2026-04-14T13:01:48.942413,2026-04-14T13:20:48.942413,2026-04-14
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Pierre Martin,CE,15,4.8,France,TRK-001,Truck,20000,2018,150000,Madrid,Lisbon,632,Europe,Road,5151.98,912.67,209.47,7.9,10.85,177,True,delayed,Fog,38.8,9.0,2026-04-14T10:00:00.948342,2026-04-14T09:57:00.948342,2026-04-14T17:54:00.948342,2026-04-14T20:51:00.948342,2026-04-14
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Pierre Martin,CE,15,4.8,France,TRK-007,Truck,22000,2016,210000,Casablanca,Tunis,2003,Africa,Road,16658.01,4246.38,639.14,25.04,26.24,72,True,delayed,Rain,-1.7,91.2,2026-04-14T09:00:00.953300,2026-04-14T08:57:00.953300,2026-04-15T10:02:24.953300,2026-04-15T11:14:24.953300,2026-04-14
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Ahmed Hassan,CE,8,4.7,Morocco,VAN-002,Van,3500,2021,45000,London,Paris,402,Europe,Road,943.28,587.09,140.55,5.03,5.56,32,True,delayed,Cloudy,29.9,65.1,2026-04-14T13:00:00.958181,2026-04-14T12:59:00.958181,2026-04-14T18:01:48.958181,2026-04-14T18:33:48.958181,2026-04-14
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Pierre Martin,CE,15,4.8,France,TRK-003,Truck,25000,2015,280000,Madrid,Lisbon,632,Europe,Road,18719.3,1202.57,247.45,7.9,9.88,119,True,delayed,Clear,11.1,44.5,2026-04-14T11:00:00.964014,2026-04-14T11:13:00.964014,2026-04-14T18:54:00.964014,2026-04-14T20:53:00.964014,2026-04-14
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Yusuf Al-Amin,C,4,4.0,UAE,TRK-005,Truck,18000,2019,120000,Cairo,Dubai,2721,Middle East,Road,7735.47,5023.07,811.67,34.01,35.46,87,True,delayed,Fog,-7.4,80.4,2026-04-14T09:00:00.968331,2026-04-14T09:08:00.968331,2026-04-15T19:00:36.968331,2026-04-15T20:27:36.968331,2026-04-14
