company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Amina Benali,C,2,3.5,Morocco,TRK-003,Truck,25000,2015,280000,Casablanca,Tunis,2003,Africa,Road,20037.84,4484.43,606.2,25.04,25.19,9,False,on_time,Cloudy,14.4,9.3,2026-04-13T10:00:00.154262,2026-04-13T10:19:00.154262,2026-04-14T11:02:24.154262,2026-04-14T11:11:24.154262,2026-04-13
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,MCY-006,Motorcycle,500,2023,8000,Berlin,Warsaw,845,Europe,Road,381.65,1123.06,330.25,10.56,10.86,18,False,on_time,Clear,9.7,20.4,2026-04-13T12:00:00.561533,2026-04-13T11:59:00.561533,2026-04-13T22:33:36.561533,2026-04-13T22:51:36.561533,2026-04-13
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Pierre Martin,CE,15,4.8,France,VAN-008,Van,4000,2020,80000,Cairo,Dubai,2721,Middle East,Road,475.54,4662.65,888.79,34.01,34.76,45,True,delayed,Clear,22.3,14.8,2026-04-13T06:00:00.930296,2026-04-13T05:55:00.930296,2026-04-14T16:00:36.930296,2026-04-14T16:45:36.930296,2026-04-13
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Juan Garcia,CE,7,4.5,Spain,VAN-004,Van,3000,2022,20000,Amsterdam,Brussels,179,Europe,Road,1764.39,299.68,55.24,2.24,3.47,74,True,delayed,Clear,10.4,4.8,2026-04-13T06:00:00.390408,2026-04-13T06:16:00.390408,2026-04-13T08:14:24.390408,2026-04-13T09:28:24.390408,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Ahmed Hassan,CE,8,4.7,Morocco,MCY-006,Motorcycle,500,2023,8000,Casablanca,Tunis,2003,Africa,Road,427.35,2627.99,608.03,25.04,25.26,13,True,delayed,Cloudy,14.4,9.3,2026-04-13T11:00:00.764210,2026-04-13T11:15:00.764210,2026-04-14T12:02:24.764210,2026-04-14T12:15:24.764210,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Sara Ali,B,3,3.8,Egypt,MCY-006,Motorcycle,500,2023,8000,Dubai,Cairo,2721,Middle East,Road,237.22,6167.61,688.31,34.01,34.38,22,False,on_time,Cloudy,26.1,14.3,2026-04-13T09:00:00.167132,2026-04-13T08:59:00.167132,2026-04-14T19:00:36.167132,2026-04-14T19:22:36.167132,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Marie Dupont,C,5,4.2,France,VAN-002,Van,3500,2021,45000,London,Paris,402,Europe,Road,565.96,995.38,116.12,5.03,5.3,16,True,delayed,Cloudy,10.4,6.4,2026-04-13T10:00:00.541946,2026-04-13T10:05:00.541946,2026-04-13T15:01:48.541946,2026-04-13T15:17:48.541946,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Ahmed Hassan,CE,8,4.7,Morocco,TRK-001,Truck,20000,2018,150000,Amsterdam,Brussels,179,Europe,Road,15517.74,408.09,70.86,2.24,2.36,7,True,delayed,Clear,10.4,4.8,2026-04-13T11:00:00.925612,2026-04-13T11:00:00.925612,2026-04-13T13:14:24.925612,2026-04-13T13:21:24.925612,2026-04-13
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,MCY-006,Motorcycle,500,2023,8000,Madrid,Lisbon,632,Europe,Road,314.27,1312.12,267.79,7.9,8.08,11,False,on_time,Clear,8.8,20.4,2026-04-13T07:00:00.475060,2026-04-13T07:06:00.475060,2026-04-13T14:54:00.475060,2026-04-13T15:05:00.475060,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Klaus Weber,CE,12,4.9,Germany,TRK-001,Truck,20000,2018,150000,Amsterdam,Brussels,179,Europe,Road,16298.76,385.42,72.8,2.24,3.42,71,True,delayed,Clear,10.4,4.8,2026-04-13T07:00:00.951902,2026-04-13T07:07:00.951902,2026-04-13T09:14:24.951902,2026-04-13T10:25:24.951902,2026-04-13
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Juan Garcia,CE,7,4.5,Spain,TRK-007,Truck,22000,2016,210000,Istanbul,Vienna,1611,Europe,Road,5207.56,2071.34,694.81,20.14,20.37,14,False,on_time,Clear,10.5,13.0,2026-04-13T07:00:00.351353,2026-04-13T06:56:00.351353,2026-04-14T03:08:24.351353,2026-04-14T03:22:24.351353,2026-04-13
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Pierre Martin,CE,15,4.8,France,VAN-002,Van,3500,2021,45000,Dubai,Cairo,2721,Middle East,Road,2399.89,6423.97,1047.77,34.01,34.74,44,True,delayed,Cloudy,26.1,14.3,2026-04-13T11:00:00.874453,2026-04-13T11:14:00.874453,2026-04-14T21:00:36.874453,2026-04-14T21:44:36.874453,2026-04-13
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Sara Ali,B,3,3.8,Egypt,TRK-001,Truck,20000,2018,150000,Dubai,Cairo,2721,Middle East,Road,5449.71,5477.74,1123.54,34.01,33.93,-5,False,on_time,Cloudy,26.1,14.3,2026-04-13T13:00:00.314363,2026-04-13T13:08:00.314363,2026-04-14T23:00:36.314363,2026-04-14T22:55:36.314363,2026-04-13
