company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Pierre Martin,CE,15,4.8,France,MCY-006,Motorcycle,500,2023,8000,Istanbul,Vienna,1611,Europe,Road,428.93,2652.64,724.61,20.14,20.42,17,True,delayed,Clear,-8.2,43.3,2026-04-13T12:00:00.360827,2026-04-13T12:04:00.360827,2026-04-14T08:08:24.360827,2026-04-14T08:25:24.360827,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Klaus Weber,CE,12,4.9,Germany,VAN-008,Van,4000,2020,80000,Amsterdam,Brussels,179,Europe,Road,2611.99,363.23,53.62,2.24,2.31,4,False,on_time,Clear,22.8,38.8,2026-04-13T09:00:00.382194,2026-04-13T08:55:00.382194,2026-04-13T11:14:24.382194,2026-04-13T11:18:24.382194,2026-04-13
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Ahmed Hassan,CE,8,4.7,Morocco,TRK-003,Truck,25000,2015,280000,Paris,Berlin,1292,Europe,Road,3538.9,1710.58,561.16,16.15,16.45,18,False,on_time,Clear,-1.4,39.5,2026-04-13T08:00:00.390344,2026-04-13T07:57:00.390344,2026-04-14T00:09:00.390344,2026-04-14T00:27:00.390344,2026-04-13
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Marie Dupont,C,5,4.2,France,VAN-002,Van,3500,2021,45000,Dubai,Cairo,2721,Middle East,Road,194.66,3625.6,1057.64,34.01,34.43,25,False,on_time,Clear,1.5,61.8,2026-04-13T09:00:00.400660,2026-04-13T08:59:00.400660,2026-04-14T19:00:36.400660,2026-04-14T19:25:36.400660,2026-04-13
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Ahmed Hassan,CE,8,4.7,Morocco,MCY-006,Motorcycle,500,2023,8000,Dubai,Cairo,2721,Middle East,Road,110.35,4765.21,1174.17,34.01,34.49,29,False,on_time,Clear,10.8,7.1,2026-04-13T11:00:00.408519,2026-04-13T11:19:00.408519,2026-04-14T21:00:36.408519,2026-04-14T21:29:36.408519,2026-04-13
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Klaus Weber,CE,12,4.9,Germany,TRK-005,Truck,18000,2019,120000,Casablanca,Tunis,2003,Africa,Road,8468.96,4421.68,528.86,25.04,26.17,68,True,delayed,Storm,23.9,31.6,2026-04-13T13:00:00.416345,2026-04-13T12:56:00.416345,2026-04-14T14:02:24.416345,2026-04-14T15:10:24.416345,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Marie Dupont,C,5,4.2,France,MCY-006,Motorcycle,500,2023,8000,London,Paris,402,Europe,Road,189.02,736.16,130.04,5.03,5.28,15,False,on_time,Cloudy,19.4,34.4,2026-04-13T07:00:00.424031,2026-04-13T07:16:00.424031,2026-04-13T12:01:48.424031,2026-04-13T12:16:48.424031,2026-04-13
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Amina Benali,C,2,3.5,Morocco,TRK-003,Truck,25000,2015,280000,Paris,Berlin,1292,Europe,Road,4386.2,2291.92,376.59,16.15,16.83,41,True,delayed,Rain,26.3,75.9,2026-04-13T10:00:00.434276,2026-04-13T09:58:00.434276,2026-04-14T02:09:00.434276,2026-04-14T02:50:00.434276,2026-04-13
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Ahmed Hassan,CE,8,4.7,Morocco,TRK-005,Truck,18000,2019,120000,Paris,Berlin,1292,Europe,Road,2008.8,3152.76,409.95,16.15,16.4,15,False,on_time,Cloudy,16.5,49.1,2026-04-13T07:00:00.442390,2026-04-13T07:11:00.442390,2026-04-13T23:09:00.442390,2026-04-13T23:24:00.442390,2026-04-13
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Sara Ali,B,3,3.8,Egypt,MCY-006,Motorcycle,500,2023,8000,Casablanca,Tunis,2003,Africa,Road,393.66,4400.54,764.25,25.04,25.64,36,True,delayed,Fog,-5.9,73.9,2026-04-13T09:00:00.450700,2026-04-13T09:05:00.450700,2026-04-14T10:02:24.450700,2026-04-14T10:38:24.450700,2026-04-13
